date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth
2021-07-10,Arkansas,355460,11778.764,697.2857142857143,23.106,0.467
2021-07-10,Missouri,647448,10549.175,1387.857142857143,22.613,0.539
2021-07-10,Florida,2361360,10994.454,3392.4285714285716,15.795,0.514
2021-07-10,Louisiana,487558,10487.838,714,15.359,0.643
2021-07-10,Nevada,338072,10975.808,472.7142857142857,15.347,0.051
2021-07-10,Wyoming,62966,10879.485,74.42857142857143,12.86,0.054
2021-07-10,Utah,419047,13070.882,409.42857142857144,12.771,0.173
2021-07-10,Alabama,554605,11311.117,472.42857142857144,9.635,1.417
2021-07-10,Mississippi,324057,10888.467,267.2857142857143,8.981,0.385
2021-07-10,Kansas,321812,11046.252,260.14285714285717,8.929,0.569
2021-07-10,Arizona,900636,12373.554,588.2857142857143,8.082,0.082
2021-07-10,Oklahoma,460682,11642.289,314.14285714285717,7.939,0.396
2021-07-10,Colorado,565497,9819.811,454.57142857142856,7.894,0.189
2021-07-10,Alaska,71118,9721.617,49.142857142857146,6.718,0.186
2021-07-10,Texas,3010721,10383.271,1762.857142857143,6.08,0.213
2021-07-10,Idaho,195910,10962.668,94.42857142857143,5.284,0.369
2021-07-10,Georgia,1114789,10499.619,536.7142857142857,5.055,0.575
2021-07-10,Indiana,760422,11295.265,334.85714285714283,4.974,0.153
2021-07-10,Montana,114348,10698.948,52.42857142857143,4.905,0.063
2021-07-10,Washington,457092,6002.606,372.57142857142856,4.893,0.208
2021-07-10,Tennessee,856874,12547.257,316.14285714285717,4.629,1.517
2021-07-10,California,3833655,9702.453,1824.7142857142858,4.618,1.238
2021-07-10,South Carolina,598918,11632.38,236.71428571428572,4.598,0.48
2021-07-10,Kentucky,467690,10468.313,201.71428571428572,4.515,0.314
2021-07-10,North Carolina,1018556,9711.555,448.42857142857144,4.276,0.469
2021-07-10,Oregon,210287,4985.778,172.14285714285714,4.081,0.191
2021-07-10,Hawaii,36934,2608.569,54.57142857142857,3.854,0.263
2021-07-10,New Mexico,206252,9836.377,76.71428571428571,3.659,0.259
2021-07-10,Nebraska,225171,11640.305,69.85714285714286,3.611,0.071
2021-07-10,Illinois,1399525,11044.387,417,3.291,0.355
2021-07-10,New Jersey,1025788,11548.818,239.28571428571428,2.694,0.168
2021-07-10,Virginia,682433,7995.214,218.42857142857142,2.559,0.248
2021-07-10,New York,2117754,10886.202,493.85714285714283,2.539,0.461
2021-07-10,Delaware,110019,11298.323,24.714285714285715,2.538,-0.082
2021-07-10,West Virginia,164465,9176.982,45.142857142857146,2.519,-0.082
2021-07-10,North Dakota,110879,14549.866,16.285714285714285,2.137,0.44
2021-07-10,Ohio,1114036,9530.554,249.57142857142858,2.135,0.002
2021-07-10,Connecticut,349969,9816.012,70.42857142857143,1.975,0.377
2021-07-10,Michigan,1000336,10016.525,194.71428571428572,1.95,0.064
2021-07-10,Wisconsin,678815,11658.612,106.85714285714286,1.835,0.238
2021-07-10,Minnesota,606390,10752.297,91,1.614,0.027
2021-07-10,New Hampshire,99708,7333.029,21.857142857142858,1.607,0.006
2021-07-10,District of Columbia,49455,7007.449,11,1.559,0.05
2021-07-10,Massachusetts,710830,10313.089,98.85714285714286,1.434,0.717
2021-07-10,Pennsylvania,1218500,9518.052,174,1.359,-0.022
2021-07-10,Maryland,463324,7663.72,81.71428571428571,1.352,0.248
2021-07-10,Maine,69219,5149.411,17.142857142857142,1.275,-0.112
2021-07-10,Rhode Island,152729,14417.087,12.285714285714286,1.16,-0.316
2021-07-10,Iowa,374358,11865.283,34,1.078,-0.59
2021-07-10,South Dakota,124641,14089.158,8.428571428571429,0.953,-0.32
2021-07-10,Vermont,24457,3919.46,5.428571428571429,0.87,0.324
