date,state,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2022-03-17,Tennessee,25150,368.273,85.85714285714286,1.257,2.576
2022-03-17,Arkansas,11030,365.498,27.714285714285715,0.918,0.104
2022-03-17,Arizona,28547,392.198,64.28571428571429,0.883,1.911
2022-03-17,Delaware,2812,288.776,8.428571428571429,0.866,0.347
2022-03-17,Oklahoma,13730,346.983,30.857142857142858,0.78,-0.082
2022-03-17,Kentucky,14424,322.853,34.57142857142857,0.774,0.383
2022-03-17,Missouri,19856,323.523,46.285714285714285,0.754,0.391
2022-03-17,West Virginia,6635,370.226,13,0.725,-0.21
2022-03-17,Alabama,18998,387.462,33.142857142857146,0.676,-0.347
2022-03-17,Florida,72443,337.293,138.42857142857142,0.645,0.41
2022-03-17,New Mexico,7130,340.037,12.571428571428571,0.6,0.044
2022-03-17,Wisconsin,13901,238.749,33.857142857142854,0.581,0.104
2022-03-17,Wyoming,1769,305.654,2.857142857142857,0.494,0.8
2022-03-17,Ohio,37608,321.736,56.57142857142857,0.484,0.015
2022-03-17,Kansas,8118,278.652,13,0.446,1.882
2022-03-17,Virginia,19430,227.637,37.857142857142854,0.444,0.019
2022-03-17,Maine,2179,162.102,5.571428571428571,0.414,-0.333
2022-03-17,Georgia,35044,330.061,43.285714285714285,0.408,-0.253
2022-03-17,Iowa,9349,296.317,12.428571428571429,0.394,-0.041
2022-03-17,South Dakota,2871,324.532,3.2857142857142856,0.371,-0.143
2022-03-17,Louisiana,16981,365.278,17,0.366,-0.203
2022-03-17,Oregon,6960,165.017,15.142857142857142,0.359,-0.354
2022-03-17,Mississippi,12319,413.924,10.285714285714286,0.346,-0.392
2022-03-17,Michigan,35314,353.605,31.142857142857142,0.312,-0.402
2022-03-17,California,88015,222.754,116.85714285714286,0.296,-0.228
2022-03-17,Texas,86806,299.374,77.14285714285714,0.266,-0.326
2022-03-17,Indiana,23250,345.354,17.714285714285715,0.263,-0.229
2022-03-17,Washington,12348,162.156,19.714285714285715,0.259,-0.264
2022-03-17,Pennsylvania,43992,343.634,32.142857142857146,0.251,-0.194
2022-03-17,Connecticut,10677,299.471,8.857142857142858,0.248,-0.355
2022-03-17,Illinois,37438,295.443,23.857142857142858,0.188,-0.223
2022-03-17,North Carolina,23040,219.678,19.714285714285715,0.188,-0.167
2022-03-17,New Hampshire,2431,178.788,2.4285714285714284,0.179,0.043
2022-03-17,Minnesota,12522,222.036,9.571428571428571,0.17,-0.26
2022-03-17,North Dakota,2279,299.057,1.2857142857142858,0.169,-0.36
2022-03-17,Utah,4556,142.11,5.428571428571429,0.169,-0.458
2022-03-17,Idaho,4838,270.723,2.857142857142857,0.16,-0.471
2022-03-17,Nebraska,4046,209.16,3,0.155,-0.067
2022-03-17,Hawaii,1365,96.407,2,0.141,0.235
2022-03-17,South Carolina,17380,337.56,7,0.136,-0.852
2022-03-17,New Jersey,33149,373.208,11.714285714285714,0.132,-0.033
2022-03-17,Colorado,12134,210.706,7.571428571428571,0.131,0.463
2022-03-17,Maryland,14282,236.235,7.571428571428571,0.125,-0.211
2022-03-17,Nevada,9922,322.127,3.857142857142857,0.125,-0.734
2022-03-17,New York,67172,345.294,24.142857142857142,0.124,0.197
2022-03-17,Montana,3231,302.308,1.2857142857142858,0.12,-0.36
2022-03-17,Rhode Island,3429,323.686,1.1428571428571428,0.108,0.154
2022-03-17,Vermont,611,97.918,0.42857142857142855,0.069,-0.091
2022-03-17,District of Columbia,1327,188.027,0.42857142857142855,0.061,0
2022-03-17,Alaska,1166,159.389,0.14285714285714285,0.02,-0.529
2022-03-17,Massachusetts,20023,290.504,-529.8571428571429,-7.687,-20.903
