date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth
2021-10-17,Alaska,126893,17345.891,913.8571428571429,124.922,0.136
2021-10-17,Montana,164846,15423.783,856.4285714285714,80.132,-0.104
2021-10-17,Wyoming,97137,16783.67,404.85714285714283,69.953,-0.096
2021-10-17,Idaho,277226,15512.922,1216.142857142857,68.053,0.023
2021-10-17,North Dakota,141518,18570.405,504.7142857142857,66.23,-0.152
2021-10-17,West Virginia,260444,14532.513,1043.7142857142858,58.238,-0.134
2021-10-17,Minnesota,755525,13396.707,2823.714285714286,50.069,-0.053
2021-10-17,Wisconsin,855353,14690.643,2880,49.464,-0.032
2021-10-17,Kentucky,730153,16343.027,1956.857142857143,43.8,-0.098
2021-10-17,Michigan,1217412,12190.142,4373.142857142857,43.789,0.041
2021-10-17,Colorado,709776,12325.205,2459.285714285714,42.705,0.183
2021-10-17,New Hampshire,128047,9417.222,548.4285714285714,40.334,0.114
2021-10-17,Utah,529253,16508.42,1280.2857142857142,39.935,-0.102
2021-10-17,Vermont,37318,5980.554,235.14285714285714,37.684,0.134
2021-10-17,Ohio,1496675,12804.023,4192,35.862,-0.219
2021-10-17,South Dakota,149996,16955.234,310.85714285714283,35.139,-0.072
2021-10-17,Pennsylvania,1510430,11798.401,4438,34.666,-0.097
2021-10-17,Iowa,472331,14970.539,1076.2857142857142,34.113,-0.183
2021-10-17,Delaware,139874,14364.261,325,33.376,-0.236
2021-10-17,Oklahoma,631872,15968.578,1298.857142857143,32.825,0.202
2021-10-17,New Mexico,263755,12578.756,687.4285714285714,32.784,-0.062
2021-10-17,Washington,697424,9158.684,2373.714285714286,31.172,-0.031
2021-10-17,Nebraska,275694,14252.112,592,30.604,-0.073
2021-10-17,North Carolina,1449002,13815.698,3109.4285714285716,29.647,-0.133
2021-10-17,Maine,97725,7270.059,397.7142857142857,29.587,-0.198
2021-10-17,Indiana,999870,14852.012,1988.7142857142858,29.54,-0.16
2021-10-17,Tennessee,1233914,18068.276,1900.2857142857142,27.826,-0.221
2021-10-17,South Carolina,883982,17168.986,1424.142857142857,27.66,-0.269
2021-10-17,Kansas,424108,14557.579,777.7142857142857,26.695,-0.14
2021-10-17,Arizona,1131976,15551.862,1910.7142857142858,26.251,-0.173
2021-10-17,Oregon,348766,8269.031,1093.2857142857142,25.921,-0.186
2021-10-17,Rhode Island,176405,16652.019,262.14285714285717,24.745,-0.009
2021-10-17,Virginia,902938,10578.595,2111.285714285714,24.735,-0.215
2021-10-17,New York,2504277,12873.103,4811.714285714285,24.734,0.005
2021-10-17,Nevada,441021,14318.138,682.4285714285714,22.156,-0.656
2021-10-17,Texas,4171446,14386.34,5927.428571428572,20.442,-0.217
2021-10-17,Massachusetts,833311,12090.107,1403.7142857142858,20.366,-0.006
2021-10-17,Arkansas,506956,16798.838,583.4285714285714,19.333,-0.151
2021-10-17,Missouri,858373,13985.875,1128.4285714285713,18.386,-0.131
2021-10-17,Illinois,1671079,13187.363,2265.285714285714,17.877,-0.177
2021-10-17,Alabama,814025,16601.964,841.8571428571429,17.17,-0.208
2021-10-17,Mississippi,497790,16725.977,502.7142857142857,16.891,-0.303
2021-10-17,Georgia,1579662,14878.017,1723.4285714285713,16.232,-0.395
2021-10-17,New Jersey,1181284,13299.468,1387.2857142857142,15.619,-0.187
2021-10-17,Maryland,550782,9110.34,904.7142857142857,14.965,-0.205
2021-10-17,District of Columbia,62976,8923.286,101.42857142857143,14.372,-0.239
2021-10-17,Louisiana,751874,16173.528,649.2857142857143,13.967,-0.162
2021-10-17,California,4830310,12224.85,5471.857142857143,13.849,-0.099
2021-10-17,Connecticut,397123,11138.598,445,12.481,0.059
2021-10-17,Florida,3623046,16868.844,2600,12.106,-0.236
2021-10-17,Hawaii,79832,5638.363,120.85714285714286,8.536,-0.346
